id,Gender,Age,Householdsize,MaritalStatus,Education,Paidwork,Income,Friends,Colleagues,Neighbors,Grandparents,Parents,Siblings,Children,Otherfamilymembers,total_allgroups,Visit,Hosting,Dining,Bar,Cinema,Recreation,Vacation,Shopping,Visit_category,Hosting_category,Dining_category,Bar_category,Cinema_category,Recreation_category,Vacation_category,Shopping_category
320991,1.0,3.0,3.0,4.0,1.0,s3_36_up,4.0,s1_below_2,s3_4_up,s1_0,s1_0,s2_1_up,s3_3_up,s2_1_up,s1_0,11.0,very_low,low,very_low,0.0,0.0,low,low,low,1,2,1,,,,,
320992,2.0,1.0,3.0,4.0,2.0,s2_8_36,1.0,s3_3_5,s2_1_3,s2_1_3,s2_1_up,s2_1_up,s2_1_2,s1_0,s2_1_4,16.0,very_low,low,very_low,0.0,0.00273972602739726,high,low,low,1,1,1,,,,,
320993,1.0,2.0,1.0,1.0,1.0,s3_36_up,3.0,s2_2,s3_4_up,s3_4_up,s1_0,s1_0,s3_3_up,s1_0,s2_1_4,32.0,high,high,low,0.0,0.0,low,high,low,3,3,2,,,,,
320994,1.0,1.0,3.0,3.0,2.0,s1_below_8,4.0,s4_6_up,s3_4_up,s1_0,s2_1_up,s2_1_up,s2_1_2,s1_0,s1_0,49.0,very_high,very_high,very_high,0.117808219178082,0.010958904109589,low,low,low,4,4,4,,,,,
320995,1.0,3.0,3.0,4.0,2.0,s3_36_up,5.0,s4_6_up,s3_4_up,s3_4_up,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s3_5_up,77.0,very_high,very_high,very_high,0.0397260273972603,0.117808219178082,high,high,high,4,4,4,,,,,
320996,1.0,3.0,2.0,2.0,1.0,s2_8_36,5.0,s3_3_5,s1_0,s3_4_up,s1_0,s1_0,s3_3_up,s2_1_up,s1_0,16.0,very_low,very_low,very_low,0.0,0.0,low,low,low,1,1,1,,,,,
320998,1.0,3.0,2.0,2.0,2.0,s3_36_up,4.0,s4_6_up,s3_4_up,s3_4_up,s1_0,s2_1_up,s2_1_2,s2_1_up,s3_5_up,33.0,low,low,low,0.0,0.00821917808219178,low,low,low,1,2,2,,,,,
321000,2.0,2.0,3.0,3.0,2.0,s2_8_36,1.0,s3_3_5,s2_1_3,s3_4_up,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s3_5_up,59.0,high,high,low,0.0,0.0,low,low,low,3,3,2,,,,,
321001,2.0,2.0,3.0,3.0,2.0,s2_8_36,3.0,s4_6_up,s2_1_3,s2_1_3,s2_1_up,s2_1_up,s3_3_up,s2_1_up,s3_5_up,62.0,low,low,very_high,0.0123287671232877,0.0232876712328767,high,high,high,2,2,4,,,,,
321003,2.0,2.0,1.0,1.0,2.0,s2_8_36,4.0,s3_3_5,s3_4_up,s2_1_3,s2_1_up,s2_1_up,s2_1_2,s1_0,s3_5_up,53.0,low,very_low,high,0.0,0.0,high,low,high,2,1,3,,,,,
