id,id_contact,Gender_ego,Age_ego,Householdsize,MaritalStatus,Education_ego,Income,Age_diff,Edu_diff,Gender_diff,Duration,Distance,Socialcategory,Visit,Hosting,Dining,Bar,Cinema,Recreation,Vacation,Shopping,Paidwork,gender_alter,age_alter,education_alter
320991,1,1,3,3,4,1,4,1,0,0,3,2,1,low,low,never,never,never,never,never,never,s3_36_up,1,2,1
320991,2,1,3,3,4,1,4,1,-1,-1,1,3,2,never,never,never,never,never,never,never,never,s3_36_up,2,2,2
320991,3,1,3,3,4,1,4,-1,0,-1,3,3,5,low,low,never,never,never,never,never,never,s3_36_up,2,4,1
320991,4,1,3,3,4,1,4,1,-1,0,3,3,6,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,2,2
320992,1,2,1,3,4,2,1,-1,1,0,2,2,3,low,high,high,never,high,high,high,high,s2_8_36,2,2,1
320992,2,2,1,3,4,2,1,-2,1,1,2,2,3,high,high,never,never,never,high,never,high,s2_8_36,1,3,1
320992,3,2,1,3,4,2,1,0,0,1,2,2,3,very_high,very_high,never,never,never,low,never,never,s2_8_36,1,1,2
320992,4,2,1,3,4,2,1,0,0,1,2,2,3,high,high,never,never,low,low,never,never,s2_8_36,1,1,2
320993,ben,1,2,1,1,1,3,-1,0,0,3,2,6,low,low,never,never,never,never,never,never,s3_36_up,1,3,1
320993,hein,1,2,1,1,1,3,-2,0,0,3,2,6,low,low,never,never,never,never,never,never,s3_36_up,1,4,1
320993,henk,1,2,1,1,1,3,-1,0,0,3,1,4,high,high,very_low,never,never,never,never,never,s3_36_up,1,3,1
320993,jan,1,2,1,1,1,3,0,0,0,1,1,2,very_low,low,never,never,never,never,never,never,s3_36_up,1,2,1
320993,joze,1,2,1,1,1,3,1,0,-1,3,1,4,low,low,never,never,never,never,never,never,s3_36_up,2,1,1
320993,mia,1,2,1,1,1,3,-1,0,-1,3,3,6,very_low,low,never,never,never,never,never,never,s3_36_up,2,3,1
320993,theo,1,2,1,1,1,3,0,0,0,3,5,6,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,2,1
320994,Bas,1,1,3,3,2,4,0,1,0,1,2,1,high,high,very_low,very_low,very_low,never,never,never,s1_below_8,1,1,1
320994,Erik,1,1,3,3,2,4,-1,0,0,1,2,1,high,high,very_low,low,very_low,never,never,never,s1_below_8,1,2,2
320994,Jacco,1,1,3,3,2,4,-3,1,0,2,1,4,high,low,never,never,never,never,never,never,s1_below_8,1,4,1
320994,Kim,1,1,3,3,2,4,-2,0,-1,3,2,5,high,very_low,never,never,never,never,never,never,s1_below_8,2,3,2
320994,Robert,1,1,3,3,2,4,-1,1,0,3,2,6,very_low,very_low,very_low,very_low,never,never,never,never,s1_below_8,1,2,1
320995,ANITA,1,3,3,4,2,5,0,1,-1,1,2,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,3,1
320995,ANNELIES,1,3,3,4,2,5,0,1,-1,3,3,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,3,1
320995,CARLA,1,3,3,4,2,5,-1,0,-1,3,3,1,low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,4,2
320995,CHARLES,1,3,3,4,2,5,1,1,0,2,2,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,2,1
320995,DIEDERIK,1,3,3,4,2,5,1,0,0,2,2,2,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,2,2
320995,ELLEN,1,3,3,4,2,5,2,0,-1,2,3,1,low,high,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,1,2
320995,ELS,1,3,3,4,2,5,1,1,-1,2,3,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,2,1
320995,ERNST,1,3,3,4,2,5,2,0,0,3,1,8,low,low,never,never,never,never,never,never,s3_36_up,1,1,2
320995,EVA,1,3,3,4,2,5,2,1,-1,1,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,1,1
320995,EVERT,1,3,3,4,2,5,2,1,-1,1,1,3,very_low,very_low,never,never,never,never,never,never,s3_36_up,2,1,1
320995,FRITS,1,3,3,4,2,5,0,0,0,2,3,4,very_low,very_low,low,low,low,low,low,low,s3_36_up,1,3,2
320995,GERARD,1,3,3,4,2,5,1,0,-1,2,1,2,low,low,low,low,low,low,low,low,s3_36_up,2,2,2
320995,GERRIT,1,3,3,4,2,5,0,1,0,3,2,8,very_low,very_low,never,never,never,never,never,never,s3_36_up,1,3,1
320995,HERMAN,1,3,3,4,2,5,1,0,0,1,3,1,very_low,low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,2,2
320995,HUUB,1,3,3,4,2,5,0,1,0,1,2,2,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,1,3,1
320995,INGEBORG,1,3,3,4,2,5,0,0,-1,3,4,1,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,3,2
320995,JAN,1,3,3,4,2,5,0,0,-1,1,3,2,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,s3_36_up,2,3,2
