,id,id_contact,Gender_A,Age_A,Householdsize,MaritalStatus,Education_A,Income,age_diff,edu_diff,gender_diff,duration,distance,socialcategory,visit,receive,dining,bar,cinema,recreation,vacation,shopping,Paidwork
0,320991,1,1.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40
1,320991,2,1.0,4.0,3.0,4.0,2.0,4.0,1.0,0.0,-1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
2,320991,3,1.0,4.0,3.0,4.0,2.0,4.0,-2.0,1.0,-1.0,5.0,6.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40
3,320991,4,1.0,4.0,3.0,4.0,2.0,4.0,1.0,0.0,0.0,5.0,6.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,40
4,320992,1,2.0,1.0,3.0,4.0,3.0,1.0,-2.0,1.0,0.0,4.0,3.0,3.0,4.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,8
5,320992,2,2.0,1.0,3.0,4.0,3.0,1.0,-2.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,8
6,320992,3,2.0,1.0,3.0,4.0,3.0,1.0,-0.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,8
7,320992,4,2.0,1.0,3.0,4.0,3.0,1.0,-1.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,8
8,320993,ben,1.0,3.0,1.0,1.0,2.0,3.0,-1.0,0.0,0.0,5.0,3.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40
9,320993,hein,1.0,3.0,1.0,1.0,2.0,3.0,-2.0,0.0,0.0,5.0,3.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40
10,320993,henk,1.0,3.0,1.0,1.0,2.0,3.0,-1.0,0.0,0.0,5.0,2.0,4.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,40
11,320993,jan,1.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40
12,320993,joze,1.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,-1.0,5.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40
13,320993,mia,1.0,3.0,1.0,1.0,2.0,3.0,-1.0,0.0,-1.0,5.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40
14,320993,theo,1.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,5.0,9.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,40
15,320994,Bas,1.0,2.0,3.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,3.0,8.0,6.0,6.0,0.0,0.0,0.0,4
16,320994,Erik,1.0,2.0,3.0,3.0,3.0,4.0,-1.0,1.0,0.0,2.0,4.0,1.0,3.0,3.0,8.0,4.0,7.0,0.0,0.0,0.0,4
17,320994,Jacco,1.0,2.0,3.0,3.0,3.0,4.0,-4.0,1.0,0.0,4.0,2.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4
18,320994,Kim,1.0,2.0,3.0,3.0,3.0,4.0,-2.0,1.0,-1.0,5.0,5.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4
19,320994,Robert,1.0,2.0,3.0,3.0,3.0,4.0,-1.0,2.0,0.0,5.0,5.0,6.0,8.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,4
20,320995,ANITA,1.0,4.0,3.0,4.0,3.0,5.0,0.0,1.0,-1.0,3.0,5.0,1.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,40
21,320995,ANNELIES,1.0,4.0,3.0,4.0,3.0,5.0,0.0,1.0,-1.0,5.0,6.0,1.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,40
