id,Gender_A,Age_A,Householdsize,MaritalStatus,Education_A,Paidwork,Income,total_friends,total_colleagues,total_neighbors,total_grandparents,total_parents,total_siblings,total_children,total_relatives,total_allgroups,visit,receive,dining,bar,cinema,recreation,vacation,shopping,visit_category,receive_category,dining_category,bar_category,cinema_category,recreation_category,vacation_category,shopping_category
320991,1.0,4.0,3.0,4.0,2.0,40.0,4.0,1.0,5.0,0.0,0.0,1.0,3.0,1.0,0.0,11.0,0.13424657534246576,0.0684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,,,,,
320992,2.0,1.0,3.0,4.0,3.0,8.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,4.0,16.0,0.06575342465753424,0.06575342465753424,0.0,0.0,0.0027397260273972603,0.01643835616438356,0.0,0.0,1,1,1,,,,,
320993,1.0,3.0,1.0,1.0,2.0,40.0,3.0,2.0,15.0,5.0,0.0,0.0,9.0,0.0,1.0,32.0,1.104109589041096,0.7904109589041095,0.0027397260273972603,0.0,0.0,0.0,0.0027397260273972603,0.0,3,3,2,,,,,
320994,1.0,2.0,3.0,3.0,3.0,4.0,4.0,23.0,21.0,0.0,1.0,2.0,2.0,0.0,0.0,49.0,1.7904109589041095,1.3054794520547945,1.0041095890410958,0.1178082191780822,0.01095890410958904,0.0,0.0,0.0,4,4,4,,,,,
320995,1.0,4.0,3.0,4.0,3.0,40.0,5.0,19.0,14.0,20.0,3.0,3.0,10.0,3.0,5.0,77.0,5.2684931506849315,5.698630136986301,0.07397260273972603,0.03972602739726028,0.11780821917808218,0.04794520547945205,0.0410958904109589,0.04657534246575342,4,4,4,,,,,
320996,1.0,4.0,2.0,2.0,2.0,15.0,5.0,3.0,0.0,6.0,0.0,0.0,4.0,3.0,0.0,16.0,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,,,,,
320998,1.0,4.0,2.0,2.0,3.0,40.0,4.0,10.0,5.0,4.0,0.0,1.0,1.0,2.0,10.0,33.0,0.16164383561643836,0.12876712328767123,0.016438356164383564,0.0,0.00821917808219178,0.0,0.0,0.0,1,2,2,,,,,
321000,2.0,3.0,3.0,3.0,3.0,18.0,1.0,5.0,2.0,6.0,1.0,4.0,6.0,3.0,32.0,59.0,0.5780821917808219,0.3547945205479452,0.005479452054794521,0.0,0.0,0.0,0.0,0.0027397260273972603,3,3,2,,,,,
321001,2.0,3.0,3.0,3.0,3.0,24.0,3.0,9.0,3.0,3.0,1.0,4.0,6.0,2.0,34.0,62.0,0.20821917808219176,0.20821917808219176,0.0821917808219178,0.012328767123287671,0.02328767123287671,0.11780821917808218,0.01780821917808219,0.043835616438356165,2,2,4,,,,,
321003,2.0,3.0,1.0,1.0,3.0,32.0,4.0,4.0,8.0,3.0,1.0,2.0,2.0,0.0,33.0,53.0,0.27534246575342464,0.02602739726027397,0.03561643835616438,0.0,0.0,0.03287671232876712,0.0013698630136986301,0.0410958904109589,2,1,3,,,,,
321004,2.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,12.0,0.20273972602739726,0.2602739726027397,0.02465753424657534,0.0,0.01643835616438356,0.0684931506849315,0.00684931506849315,0.14794520547945206,2,2,3,,,,,
321007,1.0,4.0,2.0,2.0,2.0,20.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,13.0,0.06027397260273972,0.16301369863013698,0.008219178082191782,0.0,0.0,0.0,0.0027397260273972603,0.004109589041095891,1,2,2,,,,,
321008,1.0,5.0,2.0,2.0,2.0,0.0,4.0,2.0,21.0,1.0,0.0,0.0,1.0,2.0,8.0,35.0,0.43561643835616437,0.43561643835616437,0.1095890410958904,0.0,0.01917808219178082,0.0,0.005479452054794521,0.00821917808219178,2,3,4,,,,,
321009,1.0,4.0,3.0,4.0,3.0,0.0,3.0,4.0,0.0,8.0,0.0,1.0,9.0,3.0,4.0,29.0,0.11780821917808218,0.10684931506849314,0.00684931506849315,0.0,0.0,0.00821917808219178,0.0,0.0,1,2,2,,,,,
321010,1.0,5.0,2.0,2.0,2.0,10.0,5.0,4.0,5.0,1.0,0.0,0.0,2.0,5.0,3.0,20.0,2.867123287671233,2.867123287671233,0.0,0.0,0.0,0.9205479452054794,0.0,0.0,4,4,1,,,,,
